column_name,data_type,is_nullable
id,STRING,YES
document_id,STRING,YES
record_type,STRING,YES
file_gcs_path,STRING,YES
trace_id,STRING,YES
correlation_id,STRING,YES
source_system,STRING,YES
claim_no,STRING,YES
nt_code,STRING,YES
consumer_client_id,STRING,YES
destination_identifier,STRING,YES
patient_name,STRING,YES
age,STRING,YES
gender,STRING,YES
uhid,STRING,YES
hospital_name,STRING,YES
doctor_name,STRING,YES
bill_date,STRING,YES
reports_date,STRING,YES
test_name_canonical,STRING,YES
test_name_original,STRING,YES
result_value,FLOAT64,YES
result_text,STRING,YES
unit_canonical,STRING,YES
unit_original,STRING,YES
range_low,FLOAT64,YES
range_high,FLOAT64,YES
range_text,STRING,YES
test_analytics,STRING,YES
normalization_method,STRING,YES
normalization_confidence,FLOAT64,YES
admission_date,STRING,YES
discharge_date,STRING,YES
diagnosis,STRING,YES
brief_history,STRING,YES
general_examinations,STRING,YES
recommendations,STRING,YES
hospital_address,STRING,YES
ward,STRING,YES
post_discharge_advice,STRING,YES
medicine,STRING,YES
dose,STRING,YES
frequency,STRING,YES
medicine_type,STRING,YES
processed_at,TIMESTAMP,YES
ingested_at,TIMESTAMP,YES
basic_info_age,STRING,YES
basic_info_bill_date,STRING,YES
medicine_injections_investigation,STRING,YES
discharge_medications_dose,STRING,YES
metadetails,STRING,YES
discharge_medications_frequency,STRING,YES
discharge_medications_medicine,STRING,YES
lab_or_hospital_name,STRING,YES
report_details_page_no,STRING,YES
report_details_range,STRING,YES
report_details_result,STRING,YES
report_details_test_analytics,STRING,YES
report_details_test_name,STRING,YES
report_details_unit,STRING,YES
age_text,STRING,YES
other_med_inj_investigations,STRING,YES
report_date,STRING,YES
course_during_hospitalisation,STRING,YES
page_number,STRING,YES
range_text_original,STRING,YES
medication_dose,STRING,YES
result_text_original,STRING,YES
medication_frequency,STRING,YES
course_during_hospitalization,STRING,YES
medication_name,STRING,YES
page_no,STRING,YES
test_name,STRING,YES
medication_medicine,STRING,YES
result,STRING,YES
unit,STRING,YES
age_years,STRING,YES
range,STRING,YES
